Company,perct,severity,complexity,actionability,delay,Final Risk Score
"BANK OF AMERICA, NATIONAL ASSOCIATION",0.8500000000000001,3.823529411764706,3.176470588235294,4.470588235294118,0.0,2.55
CAPITAL ONE FINANCIAL CORPORATION,2.1,3.4761904761904763,3.261904761904762,4.642857142857143,0.0,2.91
DISCOVER BANK,0.4,4.0,3.375,4.875,0.0,2.57
JPMORGAN CHASE & CO.,1.05,3.9047619047619047,3.1904761904761907,4.761904761904762,0.0,2.69
PNC Bank N.A.,0.05,4.0,3.0,5.0,0.0,2.42
WELLS FARGO & COMPANY,0.55,4.090909090909091,3.727272727272727,5.0,0.0,2.73
